name,points,clears
Drayts,539.8,162
WailedDuke,522.4999999999998,165
あおいflotsam,442.79999999999967,128
SøcK[2019],306.49999999999983,76
PrivateBob,16.4,2
CitanXG,10.3,1
Zarbrawl,10.3,1
Ticy,15.4,2
BigBirdo,30.8,5
DrHazar,12.8,2
Palutenya,39.400000000000006,7
J.Z.G.,26.6,4
Z7,36.900000000000006,6
SlushBuckt,31.7,9
Lil Gordo,69.50000000000001,14
Rogervalo,142.2999999999999,39
Hudson-smm,64.80000000000001,12
Doggeri,55.49999999999999,11
GrogEP,101.5,19
SaucePow,66.2,15
◇†υndα◇,83.8,19
Kejomi336,45.79999999999999,9
Můmßœ,91.6,16
Booster131,133.09999999999997,35
Caspur,34.0,6
Sαηγχ,47.6,8
Uppity,122.49999999999999,25
εgg αr,149.4999999999999,44
HomieStan,31.4,6
~Will~,14.2,6
itsdolph1n,142.8999999999999,43
G_LiKo,165.49999999999986,50
SJL_TV,49.7,9
K. Wolfman,72.9,12
Scraß,43.7,6
realbchin,63.2,12
Rafael_MM2,96.30000000000001,24
Pαυι⇔9610,8.1,1
McFixit,43.7,7
ÞàßľøģąMê>,19.5,3
くろと。,10.6,2
Rεd_γoshi_,14.8,3
Weegee03,93.40000000000002,33
YTKillerT,62.399999999999984,14
★ Mr. JJ ★,11.399999999999999,2
KaZε,8.1,1
ßαrni Jr™,8.1,1
YTBeef_21™,8.1,1
LCZ DANNY,16.2,2
ZiCheN,35.7,7
Uziel.cruz,8.1,1
GeorGieG:.,21.299999999999997,3
AZEMICHI,9.1,2
ILIKERAYS,78.4,20
dubs,22.299999999999997,3
sajon,14.2,2
SGioGames,70.0,17
あさひ(^__^),11.399999999999999,2
kobular,16.5,3
BeLoWaBoVe,22.799999999999997,4
Akiwa,14.2,2
CallMePeng,19.5,3
BKid32,16.2,2
●Jarocho●,16.5,3
Diego Ruiz,8.1,1
lio3527,17.7,4
Trickbðt,8.1,1
TeamNorb,29.199999999999996,11
Cobblepot™,55.7,14
Hovey,10.6,2
Wizzy,8.1,1
☆★λìηъε★☆,22.599999999999998,4
KifoO,15.8,4
Vanshee,8.1,1
★EDgamεs★,18.4,4
showsae,65.6,15
hoagette,8.1,1
killuagui,8.1,1
"zoro.""",36.0,11
bobert ok,51.0,10
Red Totey,8.1,1
MicDrop,16.5,3
Menero,18.099999999999998,5
Saturn_JP,34.900000000000006,7
Vinmon,24.1,7
DNWw,47.800000000000004,10
mike güero,35.99999999999999,6
Watson0923,32.5,8
Kalaverita,8.1,1
Lobo 0,8.1,1
GreedyDave,22.299999999999997,3
Mr Peaze,83.80000000000001,20
shegar 18,31.599999999999998,5
●Bubu○,35.0,8
Leηα,61.0,11
DonNikasol,22.299999999999997,3
Kardia,52.0,11
Millicorn,39.300000000000004,10
WA7ER ^∀^),31.099999999999998,5
Bаishi,14.0,3
さぎり　c:,43.300000000000004,11
DanG88,90.10000000000001,32
David Nez,18.9,4
Pico6012,14.899999999999999,3
Guru TM,19.099999999999998,4
はなの'',8.1,1
λllεη,21.299999999999997,3
JERRINATOR,13.899999999999999,3
JønYj◎γ$†Ι,35.8,6
El MayCra,45.70000000000002,15
azkary,29.3,9
M3TALH3AD,14.2,2
Buu,13.2,2
Javich,20.299999999999997,3
wreferiii,57.49999999999999,12
MengAkiba,8.1,1
superjimi,8.1,1
Sessionz,50.9,10
ßlackDraco,168.29999999999984,52
∞ΜααΙdi78™,16.5,3
Mambo Loko,25.999999999999996,5
Lioη10™,11.399999999999999,2
TearGasJaz,36.1,8
dolph57,169.69999999999982,73
Sandshrew~,18.299999999999997,6
prosper,19.9,4
chriiss22,12.399999999999999,3
doppler20,30.099999999999998,6
[çhoßë],8.1,1
hanjinlun,9.1,2
Jelite*,57.0,18
Stew・M・Jst,28.400000000000002,9
ずっとみているよ,17.3,5
らめりああああああん,10.6,2
Rishardo,8.1,1
»Insulin,49.99999999999999,10
~Mr.E~,16.7,3
Rinc0n,40.00000000000001,14
Vicronic!,19.299999999999997,3
D.Martinez,21.299999999999997,3
|BrAnDøN|,13.2,2
Adamskiiii,19.299999999999997,3
LC JUEGA;(,14.899999999999999,4
Ekemoon,9.1,2
パイン-KOU,13.899999999999999,3
Lady Damur,10.6,2
R mania,22.499999999999996,5
RobinTendo,39.2,11
Babomtg,14.7,3
Draleric,53.400000000000006,16
BJ_ウィング21,8.1,1
にじゅうじんかくしゃ,10.6,2
Rxser,45.49999999999999,11
Niсκ,101.6,33
Bruncle™,8.1,1
Pedibear,8.1,1
Qusai～クサイ,31.099999999999998,7
Peacekeepr,33.300000000000004,11
Cpt. Yoshi,114.19999999999999,29
imdoorlord,20.8,4
!-Random-!,12.299999999999999,3
★_Àngel_★,24.499999999999996,4
fredofredo,9.799999999999999,2
wodnjs18,34.0,6
Hoggis,62.60000000000001,20
KoalaTee,29.7,5
"""RAY""",24.1,5
Supermam14,14.2,2
MET3B,55.69999999999999,15
JCTheChamp,126.00000000000001,38
Duth88,13.899999999999999,3
Grogu1212,31.4,10
Cokiller,49.29999999999999,12
Windorf,8.1,1
Madameマダム,19.299999999999997,3
MightyHead,98.9,34
oh no evbo,37.400000000000006,12
Makeloa*,8.1,1
rahul94,20.6,5
WARIO T1ME,22.599999999999998,4
Adan1304,9.1,2
bеn,8.1,1
YilSSJ,8.1,1
HELL ECK,20.9,6
ĦŁëxăņÐřĪ,20.0,7
BIG juice8,22.3,5
Paolo[PE],21.799999999999997,4
mafebra,65.4,20
Slade,27.799999999999997,9
XFeηg³♪,14.7,3
YTLilKirbs,15.6,7
sonmin,8.1,1
Kai²,25.9,5
j^6avier,24.1,6
MR UMILDE,50.0,14
Nalgman,33.2,9
Rоmаn,13.2,2
Μalinkel_,8.1,1
kellale,30.599999999999998,5
gdashfan13,56.20000000000001,17
JoMarfpure,26.4,4
CamiloJuy,19.2,4
xOREGANOx,23.499999999999996,5
SprPatWrld,76.10000000000001,25
VarioBro,14.2,2
Estrylliα♪,35.8,8
☆Suiikаネ★,31.099999999999998,8
★Sk8Chino★,28.3,7
zachary570,14.2,2
「Lαdd」,19.299999999999997,3
Saullex,26.7,6
★Zerogue★,24.4,7
Suluz,23.4,5
juanchii,27.4,8
AntCelis,8.1,1
Meshito007,25.099999999999998,5
Nurket,55.199999999999996,15
Filipegta,20.599999999999998,6
Too Playa,101.39999999999999,33
Luddi,22.599999999999998,4
theKragle,35.8,6
ersusu,13.2,2
kfhdlq13,36.900000000000006,9
Scriabin,69.6,23
MickeyRudy,45.89999999999999,11
†♀Zonga,75.10000000000001,16
Shоujо,27.299999999999997,9
FrkyBgStok,85.5,23
Corey_du,28.8,7
Pengy!,7.1,1
abcol1,30.6,8
BurntPug,68.0,15
Distrqcted,26.799999999999997,5
Acacam,28.599999999999998,5
König-Buu™,13.3,4
WaffleChop,7.1,1
AG133YT,48.8,12
falkelopez,7.1,1
Jayfire,7.1,1
λrk,17.5,3
supergnoob,30.799999999999997,7
z0oinks,44.5,9
DAVYSGAMIN,27.9,5
Morpha,25.4,7
ShyMeow64,23.999999999999996,5
MilMario,11.899999999999999,3
Antinode,62.60000000000004,27
Pasjevw88,334.2,103
Fant's,32.5,7
Nugukaza,12.0,3
SoapOScope,25.3,7
Slvrplanes,55.1,16
ChocoFоx,32.3,12
Dr.Popples,102.8,34
Escalibur,11.2,2
DonArco,17.8,4
Fehwul,29.599999999999998,7
Isherwood,48.7,12
Cream&Air,34.800000000000004,10
★☆4¢οяч☆★,7.8,2
Dоffy,23.7,6
dobbsworks,117.30000000000001,34
BIGJ3LLY,81.30000000000001,29
【Feя】™,174.59999999999994,53
⇔Never⇔,52.89999999999999,21
MrGamer871,25.200000000000003,7
steam__,14.5,3
JohnnyXoth,9.399999999999999,2
Kuwanger_X,10.3,2
bobbins3,32.0,8
Leoculiao,31.2,10
NoToxic★,32.3,10
hairypuck,13.600000000000001,3
Moropha,10.3,2
JoďγSoland,8.6,2
Zoneβ_やまだ,20.4,6
Curryice,39.1,10
Nxs Syo。,9.399999999999999,2
Brabockert,21.1,5
Malario30,9.399999999999999,2
yusakiojim,20.4,7
Lesser_Dog,6.1,1
Corsair,66.8,20
dangermaus,6.1,1
miguelgs,16.099999999999998,5
SafePants,18.799999999999997,4
hymTeL,35.50000000000001,12
Rupas,14.399999999999999,4
Senchi :),16.9,5
timepiece,10.299999999999999,3
Snwbear24,30.099999999999998,11
DougBadaxs,17.8,6
PBNick,6.1,1
ER72Santos,6.1,1
Mαckαn,6.1,1
Cycrosix,14.5,3
Hatr3d,6.1,1
chu_gamer,16.2,4
Said_mx,17.1,5
OddFace 2,20.3,5
Candle♪,30.3,9
monael,9.399999999999999,2
Nei Vertex,14.5,3
Οctopus,16.299999999999997,3
RisingMIB,11.099999999999998,3
Sky`Syouma,6.1,1
DoctorEpic,6.1,1
NF Pro,6.1,1
Rishar21,23.099999999999998,6
V1rUz21,43.70000000000001,15
★Sanster★,16.299999999999997,3
Sakem1,13.7,3
ryo！！,17.099999999999998,5
Jonafire™,6.1,1
Yourdan,11.2,2
はる,6.1,1
ols47,8.6,2
MeMexi,22.099999999999998,6
セネル,13.7,3
κιηg νιαdγ,19.3,6
Azzaip,29.7,10
Tanessi YT,16.2,4
!$??$$??$!,11.899999999999999,3
Αnagram,14.5,3
raul pardi,20.499999999999996,5
Ah_Pook,13.600000000000001,3
Deretti,6.1,1
RogePotasa,6.1,1
rat_bark,27.199999999999996,11
jonny_fist,23.599999999999998,8
PsyerPsi,12.899999999999999,4
oliver1ssj,37.2,13
Shades87,14.399999999999999,4
Zeri,14.399999999999999,4
RojMonGG,7.8,2
BBakBBak_e,6.1,1
maxxkao,10.299999999999999,3
Ipreferbag,8.1,3
